"no.","name","engine","tuning","accuracy","auc","f1"
4,"ranger_RS_1","ranger","random_search",0.75,0.76,0.78
5,"ranger_RS_2","ranger","random_search",0.75,0.76,0.786666666666667
6,"ranger_RS_3","ranger","random_search",0.75,0.76,0.74
8,"xgboost_RS_2","xgboost","random_search",0.75,0.76,0.753333333333333
9,"xgboost_RS_3","xgboost","random_search",0.75,0.76,0.8
1,"ranger_model","ranger","basic",0.666666666666667,0.72,0.773333333333333
2,"xgboost_model","xgboost","basic",0.666666666666667,0.72,0.733333333333333
3,"decision_tree_model","decision_tree","basic",0.583333333333333,0.68,0.683333333333333
10,"decision_tree_RS_1","decision_tree","random_search",0.583333333333333,0.68,0.683333333333333
11,"decision_tree_RS_2","decision_tree","random_search",0.583333333333333,0.68,0.683333333333333
12,"decision_tree_RS_3","decision_tree","random_search",0.583333333333333,0.68,0.683333333333333
7,"xgboost_RS_1","xgboost","random_search",0.545454545454545,0.64,0.69
