"","var","estimate","statistic","p.value","conf.low","conf.high","method","alternative","p.adj","meandiff","lwr.ci","upr.ci","log2FC","comparison_lfc","Log2fc"
"1","Candidatus_Methanomethylophilus",-6.75429284070965e-05,1740,0.232077951369643,-6.75429284070965e-05,1.18325800848433e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.69378132837762,-1.31683062885096e-06,-3.88830464864396e-06,1.25464339094204e-06,NA,NA,NA
"2","Candidatus_Methanoplasma",-1.99378056046616e-05,2082,0.648579350652886,-1.99378056046616e-05,4.23348492541276e-06,"Wilcoxon rank sum test with continuity correction","two.sided",1,-1.82907196703458e-07,-9.48828169734198e-07,5.83013776327281e-07,0.572456809943768,"control-case",0.572456809943768
"3","Methanomassiliicoccus",6.47109861330083e-06,1694,0.156357805174126,-4.87815144262966e-06,6.47109861330083e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.574884905233594,-1.80952732164244e-07,-6.43681510018303e-07,2.81776045689815e-07,0.192979022381546,"control-case",0.192979022381546
"4","Archaeoglobus",-6.003667975484e-06,1617.5,0.0738451876964099,-6.003667975484e-06,5.82043288132428e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.41946307792887,-2.20265127581295e-07,-6.2317889099628e-07,1.82648635833689e-07,0.281466220400426,"control-case",0.281466220400426
"5","Salinirubellus",-8.17636820949096e-06,2134.5,0.478455371551994,-8.17636820949096e-06,9.08791099825048e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.952389477958869,3.45824551094795e-07,-3.44651022456588e-07,1.03630012464618e-06,-0.340263339153005,"control-case",0.340263339153005
"6","Halapricum",-7.94622687142311e-06,1961,0.899867843064707,-7.94622687142311e-06,9.76760367899235e-06,"Wilcoxon rank sum test with continuity correction","two.sided",1,2.07512670002371e-07,-4.70996007014252e-07,8.86021347018993e-07,-0.179237787907878,"control-case",0.179237787907878
"7","Haloarcula",-5.02681554753834e-06,1882,0.611463528308118,-5.02681554753834e-06,5.56346519258264e-06,"Wilcoxon rank sum test with continuity correction","two.sided",1,-9.35997074734909e-08,-5.14745838744817e-07,3.27546423797835e-07,0.116395890306711,"control-case",0.116395890306711
"8","Halomicrobium",-3.39310049458838e-06,2311,0.118159928389402,-3.39310049458838e-06,5.47418168417685e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.513977106157759,3.20085509134671e-07,-3.36617880187259e-08,6.73832806288068e-07,-0.374451958979539,"control-case",0.374451958979539
"9","Halorhabdus",-5.1289282533731e-06,1963,0.907564597883084,-5.1289282533731e-06,5.50855272539133e-06,"Wilcoxon rank sum test with continuity correction","two.sided",1,-6.50941932456632e-08,-4.41283940107675e-07,3.11095553616348e-07,0.101792691237898,"control-case",0.101792691237898
"10","Halorientalis",-4.25650994144995e-05,1928,0.775307480895022,-4.25650994144995e-05,1.26220986086812e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,-4.53047682623939e-07,-2.25993884990325e-06,1.35384348465537e-06,0.236869670965911,"control-case",0.236869670965911
"11","Halosimplex",-6.79968272222013e-06,2011,0.911406422226526,-6.79968272222013e-06,1.80649033738646e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,1.57968348721419e-07,-6.50696529867846e-07,9.66633227310684e-07,-0.112000297413909,"control-case",0.112000297413909
"12","Natronomonas",9.66029924295736e-06,1846,0.495177444062957,-1.04931327215943e-05,9.66029924295736e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.965856635630169,-3.1322180520971e-08,-8.83960978743478e-07,8.21316617701536e-07,0.0199374317155725,"control-case",0.0199374317155725
"13","Haladaptatus",1.54263657815629e-05,2049,0.76792380817921,-1.68698375661136e-05,1.54263657815629e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,2.50154710799118e-07,-8.59629816737002e-07,1.35993923833524e-06,-0.153980160625903,"control-case",0.153980160625903
"14","Halobacterium",-1.96116802142651e-05,2016,0.892254559521263,-1.96116802142651e-05,2.64408887532746e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,6.81843212035329e-07,-1.12635984398976e-06,2.49004626806042e-06,-0.188907318205187,"control-case",0.188907318205187
"15","Halomarina",-8.60842162515941e-06,2030,0.838991433048624,-8.60842162515941e-06,1.25511327920309e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,3.19448807763311e-07,-3.59423247087791e-07,9.98320862614413e-07,-0.28967131458971,"control-case",0.28967131458971
"16","Halorussus",1.64818934041502e-05,1865,0.555067095657723,-1.66513265012208e-05,1.64818934041502e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,-3.35546201550081e-07,-1.74966690174676e-06,1.0785744986466e-06,0.120575088249336,"control-case",0.120575088249336
"17","Salarchaeum",-8.81308798466927e-06,1973,0.945991044538721,-8.81308798466927e-06,1.00695516595435e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,1.25474142197036e-07,-5.30473598785215e-07,7.81421883179288e-07,-0.13560467497959,"control-case",0.13560467497959
"18","Halobellus",-5.23565055435723e-06,1913,0.720143312850668,-5.23565055435723e-06,7.91673431267544e-06,"Wilcoxon rank sum test with continuity correction","two.sided",1,6.63602787069409e-08,-4.70005379256302e-07,6.02725936670184e-07,-0.0849616612651082,"control-case",0.0849616612651082
"19","Haloferax",-8.33166204160237e-06,2022,0.86935518533484,-8.33166204160237e-06,3.74907705206818e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,6.36987128594565e-07,-6.10888422672905e-07,1.88486267986204e-06,-0.369162953453453,"control-case",0.369162953453453
"20","Haloplanus",-1.01152136790058e-05,2090,0.621697352571394,-1.01152136790058e-05,1.2341947245497e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,3.02991634028101e-07,-5.32769929884079e-07,1.13875319794028e-06,-0.178254119146977,"control-case",0.178254119146977
"21","Haloprofundus",-6.06802779272311e-06,2099.5,0.589573760600437,-6.06802779272311e-06,1.03895488111811e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,3.32165109323263e-07,-3.05177805550331e-07,9.69508024196857e-07,-0.298929225234036,"control-case",0.298929225234036
"22","Halobaculum",1.49082672833018e-05,1877,0.594634142528995,-1.3609275166189e-05,1.49082672833018e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,-3.11402422854858e-07,-1.49319155793535e-06,8.70386712225637e-07,0.151192167245931,"control-case",0.151192167245931
"23","Halolamina",-3.46744445298463e-06,1942,0.827035758106509,-3.46744445298463e-06,8.33737683000506e-06,"Wilcoxon rank sum test with continuity correction","two.sided",1,2.12858848120912e-07,-1.93417434710616e-07,6.19135130952441e-07,-0.42299871403004,"control-case",0.42299871403004
"24","Halorubrum",-1.6470361151677e-05,1883,0.614888898274529,-1.6470361151677e-05,1.73378707424268e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1,-3.74974166774104e-09,-1.44422841820537e-06,1.43672893486989e-06,0.00128893569758211,"control-case",0.00128893569758211
