"","var","estimate","statistic","p.value","conf.low","conf.high","method","alternative","p.adj","meandiff","lwr.ci","upr.ci","log2FC","comparison_lfc","Log2fc"
"1","Candidatus_Prometheoarchaeum",-3.51565026717325e-07,611,0.0695460223430247,-8.43748192987717e-07,3.06174054415929e-08,"Wilcoxon rank sum exact test","two.sided",0.206298598387566,-6.8801274422382e-07,-1.33864779371934e-06,-3.73776947282957e-08,NA,NA,NA
"2","Aciduliprofundum",-7.13746266926001e-06,738,0.549824452310454,-7.13746266926001e-06,5.47838948561709e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.693086054244496,-6.09144099369058e-08,-5.50477648673864e-07,4.28648828800053e-07,-0.173766245360718,"Healthy.control-Stage.III.IV.",0.173766245360718
"3","Candidatus_Methanomethylophilus",-8.94139591790949e-05,586,0.0399132538169403,-5.31018315237347e-05,8.05645512590749e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.169900492580829,-1.02795074523989e-05,-2.94670957851014e-05,8.90808088030367e-06,-2.82955508639792,"Healthy.control-Stage.III.IV.",2.82955508639792
"4","Methanomassiliicoccus",-1.1689500880945e-07,748,0.622027361185148,-6.34796202421971e-07,3.6649746517836e-07,"Wilcoxon rank sum exact test","two.sided",0.746278961471359,-4.90977986254525e-08,-9.29455795079297e-07,8.31260197828392e-07,-0.0342391453177767,"Healthy.control-Stage.III.IV.",0.0342391453177767
"5","Cuniculiplasma",-5.35940884801651e-06,695.5,0.314188496339401,-5.35940884801651e-06,4.58611512153533e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.485584041736482,-1.10530094929341e-07,-5.65024065446651e-07,3.43963875587969e-07,-0.271971354773363,"Healthy.control-Stage.III.IV.",0.271971354773363
"6","Archaeoglobus",-6.41745002811881e-06,796,0.973132682309385,-6.41745002811881e-06,1.10721475594399e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.982911730431843,1.20520490289059e-07,-7.76126441654973e-07,1.01716742223309e-06,0.106017471025384,"Healthy.control-Stage.III.IV.",0.106017471025384
"7","Ferroglobus",-4.48386132201607e-06,613,0.0724412721810604,-4.48386132201607e-06,6.68130978560952e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.209924861923003,-1.18375127312443e-07,-6.53448031589401e-07,4.16697776964516e-07,-0.191573748109769,"Healthy.control-Stage.III.IV.",0.191573748109769
"8","Salinirubellus",-1.4144605011905e-05,615,0.0758329042585294,-1.4144605011905e-05,4.81135114768605e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.213520804443465,-4.53237335873688e-07,-3.3093385701683e-06,2.40286389842092e-06,-0.187076968031589,"Healthy.control-Stage.III.IV.",0.187076968031589
"9","Halapricum",-1.76089862454827e-05,544.5,0.0141181900325542,-1.76089862454827e-05,8.86210063849824e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.147848433275081,-1.81794704194443e-06,-3.31582465449901e-06,-3.2006942938985e-07,-1.06355573045891,"Healthy.control-Stage.III.IV.",1.06355573045891
"10","Haloarcula",-1.45725492965522e-05,596,0.0502035503857502,-1.45725492965522e-05,9.76988703603169e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.179709818783945,-1.2406700554291e-06,-2.4977560956148e-06,1.64159847565967e-08,-0.653687794906415,"Healthy.control-Stage.III.IV.",0.653687794906415
"11","Halococcoides",-9.14532260570056e-06,594,0.0471053087509599,-9.14532260570056e-06,1.09567789712342e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.175739036493966,-2.64851781327012e-07,-9.93949597929475e-07,4.64246035275451e-07,-0.523549222557998,"Healthy.control-Stage.III.IV.",0.523549222557998
"12","Haloglomus",-1.082109053569e-05,640.5,0.125835660492806,-1.082109053569e-05,5.64740592956343e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.28100989719156,-1.12787996138645e-06,-2.06786457235117e-06,-1.8789535042174e-07,-0.923322582056387,"Healthy.control-Stage.III.IV.",0.923322582056387
"13","Halomicroarcula",3.78016420689663e-06,747.5,0.588489834755959,-1.02407073080687e-05,3.78016420689663e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.726829881738606,-4.88136317740422e-07,-1.18476619068705e-06,2.08493555206211e-07,-0.90288998431283,"Healthy.control-Stage.III.IV.",0.90288998431283
"14","Halomicrobium",2.38952860999026e-05,553,0.0176919490239627,-1.70759669436518e-05,2.38952860999026e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.147848433275081,-7.62388432369967e-07,-2.46028537999692e-06,9.35508515256991e-07,-0.352001915876852,"Healthy.control-Stage.III.IV.",0.352001915876852
"15","Halorhabdus",-9.66767872301013e-06,598,0.0524318140644616,-9.66767872301013e-06,1.60245639011195e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.183857934098662,-1.9082630261352e-07,-1.25339225817883e-06,8.71739652951796e-07,-0.177768369804621,"Healthy.control-Stage.III.IV.",0.177768369804621
"16","Halorientalis",-1.85584904057784e-05,536,0.0111877553873362,-1.85584904057784e-05,2.11079124298776e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.142530902718688,-1.62734943207577e-06,-3.79512103368953e-06,5.40422169538e-07,-0.628140046555416,"Healthy.control-Stage.III.IV.",0.628140046555416
"17","Halosegnis",-6.93057969333943e-06,658.5,0.173701667260895,-6.93057969333943e-06,7.53890087019889e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.344638082226465,-4.46902807291886e-07,-1.17589819801618e-06,2.82092583432409e-07,-0.512622708729002,"Healthy.control-Stage.III.IV.",0.512622708729002
"18","Halosiccatus",-5.09476565787402e-06,700,0.338288998981999,-5.09476565787402e-06,1.60811878018302e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.509998865467654,3.51441109255091e-08,-8.96418195471963e-07,9.66706417322981e-07,0.0413901034624584,"Healthy.control-Stage.III.IV.",0.0413901034624584
"19","Halosimplex",-1.66977303106117e-06,556,0.018546298867082,-3.23940024997985e-06,-2.19719336561657e-07,"Wilcoxon rank sum exact test","two.sided",0.147848433275081,-2.88815096314745e-06,-5.36563704635716e-06,-4.1066487993774e-07,-0.885192914402028,"Healthy.control-Stage.III.IV.",0.885192914402028
"20","Natronomonas",-1.17805089449563e-06,596,0.0498387279277401,-2.84977312527215e-06,-2.17603515512355e-09,"Wilcoxon rank sum exact test","two.sided",0.179050244777436,-2.11705981584397e-06,-4.26570442150586e-06,3.15847898179253e-08,-0.722255340538328,"Healthy.control-Stage.III.IV.",0.722255340538328
"21","Haladaptatus",-1.48491210399703e-06,549,0.0153607559782232,-2.72698154133852e-06,-2.60153244491925e-07,"Wilcoxon rank sum exact test","two.sided",0.147848433275081,-2.02407944260563e-06,-3.71664529111256e-06,-3.31513594098706e-07,-0.829836243164123,"Healthy.control-Stage.III.IV.",0.829836243164123
"22","Halalkalicoccus",-4.55366009265407e-06,722,0.455674087869707,-4.55366009265407e-06,1.1842989035084e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.608585146947567,8.80508492978358e-08,-6.2261831704515e-07,7.98720015640822e-07,0.123087043107564,"Healthy.control-Stage.III.IV.",0.123087043107564
"23","Halarchaeum",-9.06344880282199e-06,551.5,0.0169084721090627,-9.06344880282199e-06,7.55335466357704e-06,"Wilcoxon rank sum test with continuity correction","two.sided",0.147848433275081,-5.68362639919173e-07,-1.30883145938712e-06,1.72106179548774e-07,-0.693710678905397,"Healthy.control-Stage.III.IV.",0.693710678905397
"24","Halobacterium",-3.50315797994354e-06,501,0.00370155556700091,-6.03107836190349e-06,-1.0627486136392e-06,"Wilcoxon rank sum exact test","two.sided",0.142530902718688,-6.13823938543757e-06,-9.93741474262434e-06,-2.33906402825079e-06,-1.15918893466009,"Healthy.control-Stage.III.IV.",1.15918893466009
"25","Halomarina",-1.67911950388375e-05,613,0.0727162408310608,-1.67911950388375e-05,2.63287727115093e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.209924861923003,-9.89182651133686e-07,-2.9115824961104e-06,9.33217193843027e-07,-0.438943526152363,"Healthy.control-Stage.III.IV.",0.438943526152363
"26","Halorussus",-2.87191892353285e-06,531,0.00925628709158727,-5.5288270949825e-06,-4.03240598690483e-07,"Wilcoxon rank sum exact test","two.sided",0.142530902718688,-5.18780352717767e-06,-8.89582132970155e-06,-1.4797857246538e-06,-1.0222156212397,"Healthy.control-Stage.III.IV.",1.0222156212397
