"","var","estimate","statistic","p.value","conf.low","conf.high","method","alternative","p.adj","meandiff","lwr.ci","upr.ci","log2FC","comparison_lfc","Log2fc"
"1","Bifidobacterium",-0.000229433222000568,1951.5,0.863615000067022,-0.00472125479266203,0.00729082818687693,"Wilcoxon rank sum test with continuity correction","two.sided",0.948825241666623,0.0182493083892625,-0.00658428671347455,0.0430829034919996,NA,NA,NA
"2","Bacteroides",0.0172324952674051,2243,0.217359383470882,-0.00912717511364938,0.0475282928644247,"Wilcoxon rank sum test with continuity correction","two.sided",0.394176510921506,0.0212165876077312,-0.0211871088915613,0.0636202841070237,-0.261909520235591,"control-case",0.261909520235591
"3","Phocaeicola",-0.00110930130512862,1961.5,0.901823460392033,-0.0291913881401855,0.0246724725440414,"Wilcoxon rank sum test with continuity correction","two.sided",0.948825241666623,-0.00765026771469822,-0.0535115097424272,0.0382109743130308,0.0954774883306865,"control-case",0.0954774883306865
"4","Prevotella",5.71413650428919e-05,2207,0.2446985464635,-1.13357141277643e-06,2.04369980179307e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.409725256162748,0.0128324459553173,-0.0293903936377415,0.0550552855483762,-0.424779371466174,"control-case",0.424779371466174
"5","Alistipes",0.000646957164105487,2186,0.337354918396894,-0.00121913255515355,0.0102983607263215,"Wilcoxon rank sum test with continuity correction","two.sided",0.480503921947639,0.0170128343016516,0.00205616412800026,0.031969504475303,-0.88011182991939,"control-case",0.88011182991939
"6","Parabacteroides",0.00252601537799986,2256,0.194791746898217,-0.000969998495290809,0.00636588339433589,"Wilcoxon rank sum test with continuity correction","two.sided",0.389583493796434,0.00591012234088681,-0.00543787274537139,0.017258117427145,-0.429830078211445,"control-case",0.429830078211445
"7","Bilophila",0.00118031465184006,2390,0.0514862793083706,-2.4652053667585e-05,0.00320018165371079,"Wilcoxon rank sum test with continuity correction","two.sided",0.156166986418022,0.0033548403458253,0.000707755049858458,0.00600192564179214,-1.02425498586529,"control-case",1.02425498586529
"8","Anaerotignum",0.000309743032056686,2267.5,0.172952035401965,-1.62888973161104e-05,0.0017350060974272,"Wilcoxon rank sum test with continuity correction","two.sided",0.361626983113199,0.00436844136167531,0.00121969034295664,0.00751719238039397,-1.44296128055324,"control-case",1.44296128055324
"9","Acetatifactor",-0.00101018661820642,1687.5,0.147213300511465,-0.00413151275336225,0.000368744167048711,"Wilcoxon rank sum test with continuity correction","two.sided",0.32246722969178,-0.000559184798791636,-0.0110691046588043,0.00995073506122104,0.0528073131736692,"control-case",0.0528073131736692
"10","Agathobacter",-0.0149178202340964,1384,0.00352315054191004,-0.0312642321637045,-0.00313822443759146,"Wilcoxon rank sum test with continuity correction","two.sided",0.0162064924927862,-0.0272855758952632,-0.0476117210686688,-0.00695943072185761,0.952135175699625,"control-case",0.952135175699625
"11","Anaerostipes",-0.000844632963399485,1749,0.249397982012108,-0.00258103961325203,0.000570315663058019,"Wilcoxon rank sum test with continuity correction","two.sided",0.409725256162748,0.00240514952748282,-0.00496848049924904,0.00977877955421468,-0.304386018437133,"control-case",0.304386018437133
"12","Bariatricus",-0.00183086530309173,1562.5,0.0387452401770026,-0.00330256400562677,-3.02905806991105e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.144573130408884,-0.00354486555594508,-0.00765238518923,0.000562654077339835,0.782160352743956,"control-case",0.782160352743956
"13","Blautia_A",-0.000243557731140012,1963,0.907571970289813,-0.0035075576711915,0.00339861777971921,"Wilcoxon rank sum test with continuity correction","two.sided",0.948825241666623,0.00555963719498356,-0.00320047458813197,0.0143197489780991,-0.428249092821713,"control-case",0.428249092821713
"14","Clostridium_Q",0.000267382540052235,2104,0.573717364147628,-0.000989030803350084,0.00191123080748618,"Wilcoxon rank sum test with continuity correction","two.sided",0.676692275661305,0.00165432357537591,-0.000921953799569049,0.00423060095032088,-0.407830166214358,"control-case",0.407830166214358
"15","Dorea_A",1.48521096347368e-05,2015,0.895911443049296,-0.000943394001161879,0.00147840051692453,"Wilcoxon rank sum test with continuity correction","two.sided",0.948825241666623,0.00114784760621652,-0.00314039508425239,0.00543609029668543,-0.25391688918595,"control-case",0.25391688918595
"16","Eisenbergiella",-0.00172024918208421,1323,0.00113398603243781,-0.00337699448919473,-0.00034060538823108,"Wilcoxon rank sum test with continuity correction","two.sided",0.00856779437082457,-0.00368478052029129,-0.00713388577373204,-0.000235675266850529,1.04155068582684,"control-case",1.04155068582684
"17","Enterocloster",-0.00034082347212253,1780.5,0.316217395793944,-0.00119796021038244,0.000293747259322444,"Wilcoxon rank sum test with continuity correction","two.sided",0.469225813113594,0.00199676778386016,-0.0040046613317886,0.00799819689950892,-0.369821890868934,"control-case",0.369821890868934
"18","Eubacterium_F",-5.9178424956849e-05,1628,0.0543189517975727,-0.000539764255716059,3.48780914782282e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.156166986418022,-0.00239127569601637,-0.00499902528370342,0.000216473891670692,0.998951876779495,"control-case",0.998951876779495
"19","Eubacterium_G",-0.00215983502735276,1252,0.000277507865755754,-0.00474529673653248,-0.000183748432140583,"Wilcoxon rank sum test with continuity correction","two.sided",0.00255307236495293,-0.00616492402712575,-0.0100590090870404,-0.00227083896721111,1.72867321502377,"control-case",1.72867321502377
"20","Fusicatenibacter",-0.00337600841537806,1137,3.81087792128148e-05,-0.0048217671998275,-0.00177703183247946,"Wilcoxon rank sum test with continuity correction","two.sided",0.000826015357686684,-0.00562204381853764,-0.00926749005362215,-0.00197659758345314,1.2149046200547,"control-case",1.2149046200547
"21","Lachnospira",-0.0107434452783875,1229,0.000235492821507933,-0.0179073089956111,-0.00360564367775834,"Wilcoxon rank sum test with continuity correction","two.sided",0.00255307236495293,-0.0187960860246623,-0.0319946730918899,-0.00559749895743478,1.17390037128787,"control-case",1.17390037128787
"22","Mediterraneibacter",0.00230988183822699,2240,0.222795419216503,-0.00102633221805624,0.00804121900519186,"Wilcoxon rank sum test with continuity correction","two.sided",0.394176510921506,0.00913416301232263,0.00160314486507237,0.0166651811595729,-0.770396895647662,"control-case",0.770396895647662
"23","Roseburia",-0.00235574113812709,1630,0.0839169864609791,-0.00491887317515937,0.000184390334318545,"Wilcoxon rank sum test with continuity correction","two.sided",0.205820692667642,-0.00334981751684632,-0.00893499073718291,0.00223535570349027,0.419926156546025,"control-case",0.419926156546025
"24","Ruminococcus_B",0.000375375695570633,2408,0.0408576238112063,3.74504694484087e-05,0.00206956865706187,"Wilcoxon rank sum test with continuity correction","two.sided",0.144573130408884,0.0116470373615117,0.000229417110092612,0.0230646576129307,-1.54897933696739,"control-case",1.54897933696739
"25","UMGS1375",-0.000306555920374982,1531,0.0221004338098827,-0.00139234287064565,-4.56390929019649e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.0924199959322367,-0.00111991120152344,-0.00267698885343271,0.000437166450385836,0.562190191641694,"control-case",0.562190191641694
"26","CAG.177",1.58140417596435e-05,2151.5,0.308799985796388,-1.94156009212839e-05,2.96471685433043e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.469225813113594,0.0126617536365308,0.001011618406288,0.0243118888667737,-1.88786917765547,"control-case",1.88786917765547
"27","Fimenecus",7.52580689205567e-05,2245,0.206161545713161,-4.83429321747248e-05,0.000484412991228415,"Wilcoxon rank sum test with continuity correction","two.sided",0.394176510921506,0.00427141972589065,-0.0276096769204312,0.0361525163722126,-0.152281025294513,"control-case",0.152281025294513
"28","Ruminococcus_E",-4.0732179900381e-05,1981,0.976324614134087,-0.00468095373703383,0.000377510808031376,"Wilcoxon rank sum test with continuity correction","two.sided",0.976324614134087,-0.00332928915134154,-0.0288179628568274,0.0221593845541443,0.117164311023217,"control-case",0.117164311023217
"29","Agathobaculum",-0.000744025043823753,1631,0.0850128947975043,-0.00166014860819782,0.000114236036379511,"Wilcoxon rank sum test with continuity correction","two.sided",0.205820692667642,-0.000105829301656596,-0.0030429734013802,0.00283131479806701,0.0272999980573677,"control-case",0.0272999980573677
"30","CAG.103",-0.000322160225949007,1798,0.355155072743907,-0.00491592886796011,0.000230603970642311,"Wilcoxon rank sum test with continuity correction","two.sided",0.480503921947639,-0.00494211204078257,-0.0139527655890421,0.00406854150747698,0.533059226440128,"control-case",0.533059226440128
"31","CAG.83",6.62375959959515e-05,2114,0.540266103238707,-0.000338181766172361,0.00119086831621956,"Wilcoxon rank sum test with continuity correction","two.sided",0.654006335499487,0.00198189661148764,-0.00243838778090818,0.00640218100388347,-0.4107784304519,"control-case",0.4107784304519
"32","ER4",-4.24577138275207e-05,1859,0.528932833867872,-0.00211522911528902,6.30415773074624e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.654006335499487,0.00307713245436123,-0.00384180403139001,0.00999606894011248,-0.347478398912349,"control-case",0.347478398912349
"33","Faecousia",2.88408550036362e-05,2165,0.383935245817244,-3.57324464159242e-05,0.0005491098094217,"Wilcoxon rank sum test with continuity correction","two.sided",0.504600608788378,0.00516024518584351,0.000645525726786467,0.00967496464490055,-1.354868658647,"control-case",1.354868658647
"34","Flavonifractor",0.000332395973637692,2313,0.115872648339716,-8.62564258551561e-05,0.00109098505027262,"Wilcoxon rank sum test with continuity correction","two.sided",0.266507091181347,0.00185876680645437,-0.000998261199375623,0.00471579481228435,-0.639366750614795,"control-case",0.639366750614795
"35","Faecalibacterium",-0.0341676723412454,1325,0.00136072095865362,-0.0550907518663088,-0.0143956929499447,"Wilcoxon rank sum test with continuity correction","two.sided",0.00856779437082457,-0.0402000310668822,-0.0711098598308396,-0.00929020230292487,0.718703505808865,"control-case",0.718703505808865
"36","Gemmiger",-0.00858514822341031,1576,0.0459689957626522,-0.0171098721214679,-1.80521567844628e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.151040986077286,-0.0117008884453476,-0.0248951308796101,0.00149335398891479,0.5518342832616,"control-case",0.5518342832616
"37","Ruminococcus_D",-0.000579056213543282,1400,0.00315077149957149,-0.00324613221358157,-7.00418945814222e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.0161039432200321,-0.00832215238319596,-0.0210144864963972,0.00437018173000524,0.926084940622681,"control-case",0.926084940622681
"38","Ruthenibacterium",0.00156290809559451,2644.5,0.00149005119492601,0.000408268185944521,0.00296474295485374,"Wilcoxon rank sum test with continuity correction","two.sided",0.00856779437082457,0.0116538143229551,0.00117872251429479,0.0221289061316155,-2.50407805495786,"control-case",2.50407805495786
"39","CAG.41",-0.00212799935784119,1155,5.38705668056533e-05,-0.00365326869243663,-0.000929888064144325,"Wilcoxon rank sum test with continuity correction","two.sided",0.000826015357686684,-0.00400238485748743,-0.00747566470173239,-0.000529105013242471,1.15096156511549,"control-case",1.15096156511549
"40","Faecalibacillus",-0.00350995322718034,1101.5,1.66054966800797e-05,-0.0052722941062911,-0.00209081149729187,"Wilcoxon rank sum test with continuity correction","two.sided",0.000763852847283668,-0.0045796184446967,-0.00810994764196773,-0.00104928924742567,0.973540385068486,"control-case",0.973540385068486
"41","Streptococcus",-0.000415215644499477,1758.5,0.268969004727624,-0.00126055446530555,0.000318654748212899,"Wilcoxon rank sum test with continuity correction","two.sided",0.42664049025761,0.00267858410995175,-0.00527457821966025,0.0106317464395637,-0.431163923210034,"control-case",0.431163923210034
"42","Phascolarctobacterium",0.000778601093834211,2373,0.060853608298591,-3.96134476887244e-06,0.00474648301985133,"Wilcoxon rank sum test with continuity correction","two.sided",0.164662704807952,0.0123403785680157,0.00315569640974028,0.0215250607262911,-1.32226510853823,"control-case",1.32226510853823
"43","Megamonas",7.91368946484167e-05,2106,0.518682608893741,-2.10244788887454e-05,5.36289051567723e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.654006335499487,-0.000624400887257227,-0.0176391607915656,0.0163903590170511,0.046256136762825,"control-case",0.046256136762825
"44","Dialister",-4.40819691141778e-05,1821,0.346408510169385,-1.49658617898705e-05,5.41802153934618e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.480503921947639,-0.00526759993825266,-0.0201804772123022,0.00964527733579687,0.502518852411802,"control-case",0.502518852411802
"45","Megasphaera",-5.53673452348155e-05,1896,0.597918343489036,-1.38613845504554e-05,3.13538849750758e-05,"Wilcoxon rank sum test with continuity correction","two.sided",0.687606095012392,0.00742008058321201,-0.00444623354933732,0.0192863947157614,-1.1161650165549,"control-case",1.1161650165549
"46","Escherichia",2.97689278273064e-05,1999,0.957544630790986,-0.00246649937350475,0.00221500929225938,"Wilcoxon rank sum test with continuity correction","two.sided",0.976324614134087,-0.0163505390822043,-0.071618303210684,0.0389172250462754,0.398730007569282,"control-case",0.398730007569282
