"","ERR1018185","ERR1018186","ERR1018187","ERR1018188","ERR1018189","ERR1018190","ERR1018191","ERR1018192","ERR1018193","ERR1018194","ERR1018195","ERR1018196","ERR1018197","ERR1018198","ERR1018199","ERR1018200","ERR1018201","ERR1018202","ERR1018203","ERR1018204","ERR1018205","ERR1018206","ERR1018207","ERR1018208","ERR1018209","ERR1018210","ERR1018211","ERR1018212","ERR1018213","ERR1018214","ERR1018215","ERR1018216","ERR1018217","ERR1018218","ERR1018219","ERR1018220","ERR1018221","ERR1018222","ERR1018223","ERR1018224","ERR1018225","ERR1018226","ERR1018227","ERR1018228","ERR1018229","ERR1018230","ERR1018231","ERR1018232","ERR1018233","ERR1018234","ERR1018235","ERR1018236","ERR1018237","ERR1018238","ERR1018239","ERR1018240","ERR1018241","ERR1018242","ERR1018243","ERR1018244","ERR1018245","ERR1018246","ERR1018247","ERR1018248","ERR1018249","ERR1018250","ERR1018251","ERR1018252","ERR1018253","ERR1018254","ERR1018255","ERR1018256","ERR1018257","ERR1018258","ERR1018259","ERR1018260","ERR1018261","ERR1018262","ERR1018263","ERR1018264","ERR1018265","ERR1018266","ERR1018267","ERR1018268","ERR1018269","ERR1018270","ERR1018271","ERR1018272","ERR1018273","ERR1018274","ERR1018275","ERR1018276","ERR1018277","ERR1018278","ERR1018279","ERR1018280","ERR1018281","ERR1018282","ERR1018283","ERR1018284","ERR1018285","ERR1018286","ERR1018287","ERR1018288","ERR1018289","ERR1018290","ERR1018291","ERR1018292","ERR1018293","ERR1018294","ERR1018295","ERR1018296","ERR1018297","ERR1018298","ERR1018299","ERR1018300","ERR1018301","ERR1018302","ERR1018303","ERR1018304","ERR1018305","ERR1018306","ERR1018307","ERR1018308","ERR1018309","ERR1018310","ERR1018311","ERR1018312"
"Citrate cycle (TCA cycle, Krebs cycle)",0.254350822829091,0.0880647208121828,0.0028932544529617,0.0438832465952873,0.050598786671672,0.0184041562515316,0.101993014177111,0.0047320339713303,0.314042996279412,0.219601928038753,0.00026967401002384,0.0046850060102075,0.0242395954881369,0.033465577596266,0.00295926388310908,0.288036185369343,0.0925752526171447,0.325964381348391,0.0533938517438386,0.779347621003097,0.00470889961004425,0.00422913824887423,0.00953118158503784,0.735420401478432,0.00900586930425787,0.0373824952618468,0.00747737781181743,0.0126994058346538,0.0593466520723145,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.00717065114593969,0.0202006175360638,0.021305557851809,0.00462821970103159,0.0434954264159559,0.151481721084268,0.0056323512361027,0.030864068394664,0,0.00158581710242752,0.00423177083333333,3.13280754380057e-05,0.0048410125398886,0.13981331478546,0.0429441420884661,0.0208462638637774,0.00116906348155556,0.932916336779739,0.000604006274453239,0.0425461787357309,0.0858484850267348,0.0124266128632146,0.0584417358985571,0.00640300931159942,0.0159220532319392,0.311873705867613,0.0018322692811206,0.0134339987640721,0.0393241383274627,0.0131967317124304,0.301595394197428,0.0217009547105748,0.00377867303822525,0.00615644177777033,0.0462937687669057,0.00412032552073555,0.00475850448614643,0.00329296263253217,0.0340910050764851,0.00192481203007519,0.0156964309245537,0.00432055802136698,0.061436589475973,0.00531875512700157,0.00423158964643409,0.00329319465455883,0.00908639432008388,0.30231190883782,0.00940836051399269,0,0.0144647404519046,0,0.000507956996958234,0,0.508443478362491,0.00381693728351278,0.00528049485780382,0.000703018346598944,0.000376084683263314,0,0.000846893418708023,0.0656452234462414,0.276412528172845,0.000615509470867025,0.146742105478165,0.145180599863379,0.00106644854515193,0.102482632141011,0.000453803570093313,0.0110790508540609,0,0,0.0763170465645208,0.00191265540325151,0.000419712496939596,0.000197086405965149,0.304566626958935,0.0345060385567474,0.000673107380424454,0.00586246583225435,0.000328257692877867,0.127552105288682,0.00829923514017611,0.00119850604827471,0.00581716765819808,0.0816573960738136,0.00154695105785761,0.0421286819750164,0.0550788481904928,0.001049042748492,0.421840164091065,0.00186157448479472,0.0749664511406612,0.00158776985491813,0.000622748314809004,0.359302713918894
"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",0.097945178593282,0.0235469543147208,0.00282949126942535,0.00533942582048412,0.00173110325739171,0.0184041562515316,0.101993014177111,0.0047320339713303,0.314042996279412,0.21124428347348,0.00026967401002384,0.00452243482373342,0.0240010372099054,0.033465577596266,0.00294385105038455,0.00108104328744726,0.0914702606272272,0.325275464301385,0.00905385700284464,0.0225213926593489,0.00470889961004425,0.00252835120681685,0.00953118158503784,0.735376137042693,0.00900586930425787,0.0127645408006822,0.00305978687393035,0.00617968231082941,0.0581545942965049,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.00717065114593969,0.0202006175360638,0.021305557851809,0.00462821970103159,0.000304429931170295,0.00152520660979988,0.00244257500998415,0.030864068394664,0,0.00026984766544804,0.00423177083333333,3.13280754380057e-05,0.00463274718205401,0.00608547575076368,0.00442176346340636,0.0174838761907332,0.00116906348155556,0.932916336779739,0.000148747813857887,0.0139035248569028,0.0858484850267348,0.0124266128632146,0.0263718845649322,0.00640300931159942,0.0159220532319392,0.311873705867613,0.0018322692811206,0.00540345283621567,0.0393241383274627,0.0131967317124304,0.301333023258587,0.0217009547105748,0.00281146388744308,0.00615644177777033,0.040387621907338,0.00412032552073555,0.00475850448614643,0.00164648131626609,0.0207958509658837,0.00140350877192982,0.0156964309245537,0.00432055802136698,0.056945123939987,0.00058044320985095,0.00423158964643409,0.0014164278084124,0.00908639432008388,0.30231190883782,0.00717398190238933,0,0.00111567608576202,0,0.000507956996958234,0,0.508127943530952,0.00381693728351278,0.00208425881688976,0,0.000201801537360803,0,0.000846893418708023,0.0656452234462414,0.276412528172845,0.000615509470867025,0.0643653744025491,0.145117219135346,0.00106644854515193,0.102482632141011,0.000453803570093313,0.0110790508540609,0,0,0.00741495968115673,0.00135010969641283,0.000419712496939596,0.000197086405965149,0.0024751945559986,0.000802640462080864,0.000673107380424454,0.00586246583225435,0,0.0221216654293953,0.00829923514017611,0.00119850604827471,0.00581716765819808,0.0559489316868347,0.00154695105785761,0.0372005186859525,0.0550788481904928,0.001049042748492,0.421610844279108,0.000302505853779142,0.0166698617961275,0.00158776985491813,0.000622748314809004,0.358881144915714
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",0.363400211046945,0.750123730964467,0.47149287546054,0.634868949479444,0.248854846019338,0.932922446045516,0.547486962732494,0.75066757217934,0.764386483981156,0.732871495193451,0.65923533073796,0.401385796204702,0.653146635550369,0.668118436406068,0.551555925463541,0.583846739256124,0.846499305497003,0.879431315380483,0.754368560705663,0.158433313725708,0.866882491232127,0.709647685959375,0.811092606492775,0.876911670318483,0.829723794192652,0.758230077124576,0.452059871973071,0.579672789675442,0.715123258216982,0.547475573483985,0.770572650058772,0.64057937762054,0.732568589348478,0.685599810491578,0.83572786641316,0.558058635554507,0.39892212777495,0.402708098590041,0.350012238640609,0.800192464592791,0.766846445249313,0.444008457691213,0.709215666118421,0.600827452792507,0.764141796311852,0.314447499416745,0.562085074235673,0.659152117008933,0.694724190224,0.988089012501132,0.75362403764672,0.811854437754453,0.879355070204644,0.58580548067541,0.621365325754263,0.749920347797488,0.779230038022814,0.814462630072669,0.963908979941336,0.721557985616665,0.631654749777257,0.773310823857837,0.644069969559008,0.21338420255198,0.718456071901344,0.811887742703192,0.722622031416731,0.675820998640743,0.519278152368104,0.628224518787117,0.688780207620641,0.72272395273899,0.449950837784963,0.855268912900441,0.739056724287889,0.933494830797843,0.72408929207303,0.60820426462806,0.737763716960656,0.818102171269158,0.556434468215037,0.503236796496268,0.341235109210743,0.485082158948325,0.66842061229734,0.684415328764552,0.730723159087987,0.446709394324184,0.48172362057549,0.597911654027777,0.449100148599314,0.679030572150122,0.704392586500617,0.800536191248189,0.958644594699619,0.792470723406001,0.572596919808816,0.732163606785963,0.66336982209464,0.82597046803597,0.717579473639427,0.880458867501856,0.766676805092386,0.426446092195814,0.64524408763912,0.692779725852726,0.59633276205799,0.863315102840781,0.511783923361699,0.386647663341085,0.745830693696548,0.799363400949504,0.617161523962812,0.502042430324215,0.742897213828203,0.662365051935262,0.471458747617437,0.873034195317705,0.580557612994389,0.800813599661108,0.65398176099134,0.761788617886179,0.824114889225791,0.501665236550852,0.587588664842538,0.421387403852381,0.54388064639329,0.75021762815424
"Methanogenesis, CO2 => methane",0.000290939990163458,0,0.1513718051158,0,0,0,0,0,0,0,0,0.0242600547815634,0.000321535070659925,0,0,0.000172106394021454,0,0.000278847376169211,0,0,0,0,0,0,0,0,0,0.000108813188158405,0,0,0,0,0,0,0,0,0,0.0165844797374588,0,0,0.00181303304626977,0,0,0.00756573021827837,0,0,0,0,0,0,0.00357896255161098,0,0,0,0,0.00200929104400913,0,0,0,4.17946628215577e-05,0,0.000700662595099775,0,0,0,0.000363129505948341,0,0,0,0,0.00623368725134936,0.0028843537414966,0,0,0,0,0,0,0,0,0,0,0,1.50267852446987e-05,0,0,0,0.00926934703824201,0,0,0,0,0,0,0,0,0,0.000281692124592427,0,0,0.0179922801824497,0,0,0,0.000442045673299728,0,0.0468110594242944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000586039519447594,0,0,0,0,0
"Pentose phosphate pathway (Pentose phosphate cycle)",0.204583921178353,0.482281091370558,0.286629458192274,0.28055189366026,0.197427463855926,0.569144243493604,0.338722396704727,0.648958051881981,0.800223489225534,0.463358532715542,0.724264062495517,0.121268252310481,0.459082069233761,0.415320886814469,0.523388973659469,0.251845437701519,0.470917409614762,0.821730411996998,0.550647813926804,0.229644510049833,0.794777465953325,0.321611410112263,0.626755332457622,0.773803200318704,0.518014504538892,0.695487876460504,0.192656889720969,0.434697351985727,0.217539403358372,0.77368792398922,0.348360539187806,0.478737773896181,0.430257889363064,0.304679714430413,0.599988977983522,0.213513629442169,0.154517216939623,0.132911473752308,0.100627391365961,0.274464272016625,0.0632191316569709,0.241992362941413,0.492393092105263,0.193405831721243,0.227985773162,0.181870907675636,0.179861550084026,0.15926545591926,0.616753759548526,0.969893861619859,0.286952562969908,0.149693843918426,0.682408545731546,0.162212446458399,0.345100021862702,0.216371353984666,0.787874287072243,0.471991348271633,0.953782048445824,0.535368733412743,0.227051072839392,0.195046260282362,0.489098189342373,0.0827184607801975,0.129790451678477,0.185142975259707,0.293899049557039,0.233874783157231,0.265087648491588,0.224763844801905,0.435044640971712,0.177558181167204,0.105146320943104,0.587774646387428,0.362140546858013,0.720016110260518,0.523036926151155,0.207835206493535,0.416052016848456,0.522018179407815,0.340430267697392,0.286699106941016,0.134611898127617,0.148642455176352,0.329523655856147,0.307994451540247,0.638695088174456,0.185396958972933,0.171663579393218,0.326295883527844,0.157157533618302,0.52032166754408,0.323532867297186,0.430374868775996,0.894663868811689,0.193470584346454,0.336672249683402,0.449872886428778,0.259312658381846,0.302455462432217,0.387486366554677,0.329997443295957,0.440625033945622,0.179779933180403,0.510527103816565,0.489358510378968,0.390568710433353,0.651512911896902,0.306478304598726,0.201170204785837,0.159728381374723,0.193623219680622,0.333742773036278,0.157742769423606,0.81374916260621,0.661779735027965,0.251619317947406,0.82243457647077,0.24638885320637,0.714810036120462,0.336822144575704,0.18590611067401,0.592240709362618,0.105618173620908,0.123725579044598,0.185939362541583,0.171194971307358,0.655170242703297
"Reductive pentose phosphate cycle (Calvin cycle)",0.097945178593282,0.0235469543147208,0.00282949126942535,0.00533942582048412,0.00173110325739171,0.0184041562515316,0.101993014177111,0.0047320339713303,0.314042996279412,0.21124428347348,0.00026967401002384,0.00452243482373342,0.0240010372099054,0.033465577596266,0.00294385105038455,0.00108104328744726,0.0914702606272272,0.325275464301385,0.00905385700284464,0.0225213926593489,0.00470889961004425,0.00252835120681685,0.00953118158503784,0.735376137042693,0.00900586930425787,0.0127645408006822,0.00305978687393035,0.00617968231082941,0.0581545942965049,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.00717065114593969,0.0202006175360638,0.021305557851809,0.00462821970103159,0.000304429931170295,0.00152520660979988,0.00244257500998415,0.030864068394664,0,0.00026984766544804,0.00423177083333333,3.13280754380057e-05,0.00463274718205401,0.00608547575076368,0.00442176346340636,0.0174838761907332,0.00116906348155556,0.932916336779739,0.000148747813857887,0.0139035248569028,0.0858484850267348,0.0124266128632146,0.0263718845649322,0.00640300931159942,0.0159220532319392,0.311873705867613,0.0018322692811206,0.00540345283621567,0.0393241383274627,0.0131967317124304,0.301333023258587,0.0217009547105748,0.00281146388744308,0.00615644177777033,0.040387621907338,0.00412032552073555,0.00475850448614643,0.00164648131626609,0.0207958509658837,0.00140350877192982,0.0156964309245537,0.00432055802136698,0.056945123939987,0.00058044320985095,0.00423158964643409,0.0014164278084124,0.00908639432008388,0.30231190883782,0.00717398190238933,0,0.00111567608576202,0,0.000507956996958234,0,0.508127943530952,0.00381693728351278,0.00208425881688976,0,0.000201801537360803,0,0.000846893418708023,0.0656452234462414,0.276412528172845,0.000615509470867025,0.0643653744025491,0.145117219135346,0.00106644854515193,0.102482632141011,0.000453803570093313,0.0110790508540609,0,0,0.00741495968115673,0.00135010969641283,0.000419712496939596,0.000197086405965149,0.0024751945559986,0.000802640462080864,0.000673107380424454,0.00586246583225435,0,0.0221216654293953,0.00829923514017611,0.00119850604827471,0.00581716765819808,0.0559489316868347,0.00154695105785761,0.0372005186859525,0.0550788481904928,0.001049042748492,0.421610844279108,0.000302505853779142,0.0166698617961275,0.00158776985491813,0.000622748314809004,0.358881144915714
"Complex I: NADH:quinone oxidoreductase, prokaryotes",0.097945178593282,0.0235469543147208,0.00282949126942535,0.00533942582048412,0.00173110325739171,0.0184041562515316,0.101993014177111,0.0047320339713303,0.314042996279412,0.21124428347348,0.00026967401002384,0.00452243482373342,0.0240010372099054,0.033465577596266,0.00294385105038455,0.00108104328744726,0.0914702606272272,0.325275464301385,0.00905385700284464,0.0225213926593489,0.00470889961004425,0.00252835120681685,0.00953118158503784,0.735376137042693,0.00900586930425787,0.0127645408006822,0.00305978687393035,0.00617968231082941,0.0581545942965049,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.00717065114593969,0.0202006175360638,0.021305557851809,0.00462821970103159,0.000304429931170295,0.00152520660979988,0.00244257500998415,0.030864068394664,0,0.00026984766544804,0.00423177083333333,3.13280754380057e-05,0.00463274718205401,0.00608547575076368,0.00442176346340636,0.0174838761907332,0.00116906348155556,0.932916336779739,0.000148747813857887,0.0139035248569028,0.123936048187385,0.0124266128632146,0.0263718845649322,0.00640300931159942,0.0159220532319392,0.311873705867613,0.0018322692811206,0.00540345283621567,0.0393241383274627,0.0131967317124304,0.301333023258587,0.0217009547105748,0.00281146388744308,0.00615644177777033,0.040387621907338,0.00412032552073555,0.00475850448614643,0.00164648131626609,0.0207958509658837,0.00140350877192982,0.0156964309245537,0.00432055802136698,0.056945123939987,0.00058044320985095,0.00423158964643409,0.0014164278084124,0.00908639432008388,0.30231190883782,0.00717398190238933,0,0.00111567608576202,0,0.000507956996958234,0,0.508127943530952,0.00381693728351278,0.00208425881688976,0,0.000201801537360803,0,0.000846893418708023,0.0656452234462414,0.276412528172845,0.000615509470867025,0.0643653744025491,0.145117219135346,0.00106644854515193,0.102482632141011,0.000453803570093313,0.0110790508540609,0,0,0.00741495968115673,0.00135010969641283,0.000419712496939596,0.000197086405965149,0.0024751945559986,0.000802640462080864,0.000673107380424454,0.00586246583225435,0,0.0221216654293953,0.00829923514017611,0.00119850604827471,0.00581716765819808,0.0559489316868347,0.00154695105785761,0.0372005186859525,0.0550788481904928,0.001049042748492,0.421610844279108,0.000302505853779142,0.0166698617961275,0.00158776985491813,0.000622748314809004,0.358881144915714
"Complex II: Fumarate reductase, prokaryotes",0.097945178593282,0.0258883248730964,0.00283347646839638,0.00533942582048412,0.00181279577066188,0.0184041562515316,0.101993014177111,0.0048294009254729,0.314042996279412,0.233285463539173,0.00026967401002384,0.00472441720692849,0.0240010372099054,0.033465577596266,0.00302091521400718,0.0040767702083832,0.0914702606272272,0.325275464301385,0.00905385700284464,0.0225213926593489,0.00544116152857048,0.00311049979168212,0.00953118158503784,0.735376137042693,0.0106322363653462,0.0127645408006822,0.00324889607503853,0.00620688560786901,0.0581545942965049,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.021161419638362,0.0204538399960791,0.0217326609903282,0.00467754734381367,0.000304429931170295,0.00152520660979988,0.00244257500998415,0.030864068394664,0.0263763041570852,0.00128085227503761,0.00424033717105263,3.13280754380057e-05,0.00537787435119556,0.00608547575076368,0.0151863215183238,0.0174838761907332,0.00160570164936547,0.932916336779739,0.000297495627715774,0.017148454364407,0.0860073057534279,0.0124266128632146,0.0263718845649322,0.0156478036547514,0.0161398922686946,0.311889532199992,0.00193117017981745,0.00540345283621567,0.0405887443675533,0.013216041311508,0.301440356824477,0.021817783538088,0.0111229052339949,0.0127262925315434,0.0434306524058863,0.00423046787973456,0.00475850448614643,0.00171923281628715,0.0210323594252844,0.00855281059792338,0.0156964309245537,0.00850419695050755,0.0601761252446184,0.00058044320985095,0.00451507849529651,0.0115812645946164,0.0228570027161084,0.311983768797588,0.00858937371765787,4.56690863670927e-06,0.00111567608576202,0,0.000986034170565983,0.00282458718452291,0.508127943530952,0.00492895838185903,0.00214013706935329,0.000561324726354196,0.000256838320277385,0,0.0266110556306174,0.066857799689049,0.276412528172845,0.00164819758309948,0.0643653744025491,0.147173571644871,0.00313204548454814,0.104320361055241,0.00115513636023752,0.018694376468583,0,0,0.00951111174486835,0.00227831011269666,0.000419712496939596,0.000197086405965149,0.0024751945559986,0.000802640462080864,0.00491764333227748,0.00586246583225435,0,0.0221216654293953,0.00856912896587289,0.00233197688462753,0.00614721972391145,0.0559489316868347,0.00506995443873828,0.0373104645861022,0.0618399055564799,0.001049042748492,0.421610844279108,0.000360680056428977,0.0166698617961275,0.00356888450773138,0.000622748314809004,0.358881144915714
"Complex II: Succinate dehydrogenase, prokaryotes",0.097945178593282,0.0235469543147208,0.00282949126942535,0.00533942582048412,0.00173110325739171,0.0184041562515316,0.101993014177111,0.0047320339713303,0.314042996279412,0.21124428347348,0.00026967401002384,0.00452243482373342,0.0240010372099054,0.033465577596266,0.00294385105038455,0.00108104328744726,0.0914702606272272,0.325275464301385,0.00905385700284464,0.0225213926593489,0.00470889961004425,0.00252835120681685,0.00953118158503784,0.735376137042693,0.00900586930425787,0.0127645408006822,0.00305978687393035,0.00617968231082941,0.0581545942965049,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.00717065114593969,0.0202006175360638,0.021305557851809,0.00462821970103159,0.000304429931170295,0.00152520660979988,0.00244257500998415,0.030864068394664,0,0.00026984766544804,0.00423177083333333,3.13280754380057e-05,0.00463274718205401,0.00608547575076368,0.00442176346340636,0.0174838761907332,0.00116906348155556,0.932916336779739,0.000148747813857887,0.0139035248569028,0.0858484850267348,0.0124266128632146,0.0263718845649322,0.00640300931159942,0.0159220532319392,0.311873705867613,0.0018322692811206,0.00540345283621567,0.0393241383274627,0.0131967317124304,0.301333023258587,0.0217009547105748,0.00281146388744308,0.00615644177777033,0.040387621907338,0.00412032552073555,0.00475850448614643,0.00164648131626609,0.0207958509658837,0.00140350877192982,0.0156964309245537,0.00432055802136698,0.056945123939987,0.00058044320985095,0.00423158964643409,0.0014164278084124,0.00908639432008388,0.30231190883782,0.00717398190238933,0,0.00111567608576202,0,0.000507956996958234,0,0.508127943530952,0.00381693728351278,0.00208425881688976,0,0.000201801537360803,0,0.000846893418708023,0.0656452234462414,0.276412528172845,0.000615509470867025,0.0643653744025491,0.145117219135346,0.00106644854515193,0.102482632141011,0.000453803570093313,0.0110790508540609,0,0,0.00741495968115673,0.00135010969641283,0.000419712496939596,0.000197086405965149,0.0024751945559986,0.000802640462080864,0.000673107380424454,0.00586246583225435,0,0.0221216654293953,0.00829923514017611,0.00119850604827471,0.00581716765819808,0.0559489316868347,0.00154695105785761,0.0372005186859525,0.0550788481904928,0.001049042748492,0.421610844279108,0.000302505853779142,0.0166698617961275,0.00158776985491813,0.000622748314809004,0.358881144915714
"Complex III: Cytochrome bd ubiquinol oxidase",0.097945178593282,0.0235469543147208,0.00282949126942535,0.00533942582048412,0.00173110325739171,0.0184041562515316,0.101993014177111,0.0047320339713303,0.314042996279412,0.21124428347348,0.00026967401002384,0.00452243482373342,0.0240010372099054,0.033465577596266,0.00294385105038455,0.00108104328744726,0.0914702606272272,0.325275464301385,0.00905385700284464,0.0225213926593489,0.00470889961004425,0.00252835120681685,0.00953118158503784,0.735376137042693,0.00900586930425787,0.0127645408006822,0.00305978687393035,0.00617968231082941,0.0581545942965049,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.00717065114593969,0.0202006175360638,0.021305557851809,0.00462821970103159,0.000304429931170295,0.00152520660979988,0.00244257500998415,0.030864068394664,0,0.00026984766544804,0.00423177083333333,3.13280754380057e-05,0.00463274718205401,0.00608547575076368,0.00442176346340636,0.0174838761907332,0.00116906348155556,0.932916336779739,0.000148747813857887,0.0139035248569028,0.0858484850267348,0.0124266128632146,0.0263718845649322,0.00640300931159942,0.0159220532319392,0.311873705867613,0.0018322692811206,0.00540345283621567,0.0393241383274627,0.0131967317124304,0.301333023258587,0.0217009547105748,0.00281146388744308,0.00615644177777033,0.040387621907338,0.00412032552073555,0.00475850448614643,0.00164648131626609,0.0207958509658837,0.00140350877192982,0.0156964309245537,0.00432055802136698,0.056945123939987,0.00058044320985095,0.00423158964643409,0.0014164278084124,0.00908639432008388,0.30231190883782,0.00717398190238933,0,0.00111567608576202,0,0.000507956996958234,0,0.508127943530952,0.00381693728351278,0.00208425881688976,0,0.000201801537360803,0,0.000846893418708023,0.0656452234462414,0.276412528172845,0.000615509470867025,0.0643653744025491,0.145117219135346,0.00106644854515193,0.102482632141011,0.000453803570093313,0.0110790508540609,0,0,0.00741495968115673,0.00135010969641283,0.000419712496939596,0.000197086405965149,0.0024751945559986,0.000802640462080864,0.000673107380424454,0.00586246583225435,0,0.0221216654293953,0.00829923514017611,0.00119850604827471,0.00581716765819808,0.0559489316868347,0.00154695105785761,0.0372005186859525,0.0550788481904928,0.001049042748492,0.421610844279108,0.000302505853779142,0.0166698617961275,0.00158776985491813,0.000622748314809004,0.358881144915714
